id,condition,title,buying_mode,price,original_price,sale_amount,sale_type,available_quantity,accepts_mercadopago,use_thumbnail_id,health,Seller_City,Seller_state
MLB5099324098,new,Tênis Olympikus Masculino Resistente Corrida Macio,buy_it_now,299.25,349.99,299.25,promotion,150,True,True,0.88,Penápolis,São Paulo
MLB3095199745,new,Tênis Feminino Esportivo Ultraleve 130g Olympikus,buy_it_now,108.99,229.99,108.99,promotion,50,True,True,,Cajamar,São Paulo
MLB4212992502,new,Kit 5 Faixa De Cabeça Esporte Yoga Corrida Academia ,buy_it_now,33.9,,33.9,standard,1,True,True,1.0,São Paulo Zona Leste,São Paulo
MLB4634895328,new,Tênis Feminino Ultra Conforto Modare Ortopédico Original,buy_it_now,99.99,159.99,99.99,promotion,100,True,True,0.77,Cerquilho,São Paulo
MLB4928472342,new,Tênis Puma Smash V2 L Color Preto/branco - Adulto 38 Br,buy_it_now,225.15,349.99,225.15,promotion,50,True,True,,Penápolis,São Paulo
MLB3519501807,new,Tênis Menino Casual Calce Fácil Dia A Dia Conforto Original,buy_it_now,67.04,78.88,67.04,promotion,100,True,True,0.66,São Bernardo do Campo,São Paulo
MLB5059572310,new,3 Faixas De Cabelo Masculina 5x22  Memphis D Timão Esporte,buy_it_now,18.0,,18.0,standard,1,True,True,0.85,Guarulhos,São Paulo
MLB3780673785,new,Tênis Marez Masculino Olympikus,buy_it_now,178.99,349.99,178.99,promotion,1,True,True,,Cajamar,São Paulo
MLB2744814291,new,Tenis Feminino Esportivo Academia Caminhada Corrida Barato.,buy_it_now,55.1,78.99,55.1,promotion,200,True,True,0.66,Nova Serrana,Minas Gerais
MLB3746644965,new,Tênis Lite Racer 4.0 adidas,buy_it_now,161.49,299.99,161.49,promotion,150,True,True,1.0,Extrema,Minas Gerais
MLB2223812758,new,Tênis Masculino Corrida Academia Caminhada Lynd- Grid 321,buy_it_now,189.9,199.9,189.9,promotion,250,True,True,0.77,Nova Serrana,Minas Gerais
MLB4839351810,new,Tênis Asics Jolt 4 Masculino Corrida - Caminhada,buy_it_now,227.3,359.9,227.3,promotion,100,True,True,1.0,São Paulo Centro,São Paulo
MLB1696827744,new,Tenis Meia Calce Facil Para Caminhada Exercícios Feminino,buy_it_now,47.49,49.99,47.49,promotion,1,True,True,0.75,Birigüi,São Paulo
MLB4608191202,new,Tênis Masculino Olympikus Treino Volcan Cor Preto/chumbo - Adulto 40 Br,buy_it_now,147.43,159.99,147.43,promotion,1,True,True,,Foz do Iguaçu,Paraná
MLB3867022685,new,Tênis Under Armour Ua Ch Quicker Feminino Moderno Elegante,buy_it_now,243.99,399.99,243.99,promotion,50,True,True,0.77,Penápolis,São Paulo
MLB3951307628,new,Tênis Academia Caminhada Corrida Confortável Leve Pra Malhar,buy_it_now,64.9,78.0,64.9,promotion,50,True,True,0.77,Franca,São Paulo
MLB4616703034,new,Tenis Feminino Esportivo + Relogio Academia Corrida Treino ,buy_it_now,62.4,114.4,62.4,promotion,200,True,True,0.66,Perdigão,Minas Gerais
MLB3263377279,new,Tênis Olympikus Vibração Masculino,buy_it_now,142.9,199.9,142.9,promotion,150,True,True,0.88,São Paulo Centro,São Paulo
MLB3751689031,new,Kit 2 Pares Tênis Casual Esportivo Masculino Relogio Digital,buy_it_now,149.9,,149.9,standard,5000,True,True,0.81,Nova Serrana,Minas Gerais
MLB2797857272,new,Tênis Masculino Esportivo Academia Kit C/meia Lupo + Relógio,buy_it_now,100.6,149.9,100.6,promotion,100,True,True,0.88,Franca,São Paulo
MLB4567628890,new,Camisas Dry Fit Masculina Tamanho Especiais | Plus Size,buy_it_now,42.34,79.9,42.34,promotion,1,True,True,0.71,Divinópolis,Minas Gerais
MLB3573962689,new,Tênis New Balance Fresh Foam X 1080 V12 Color Navy Blue/green - Adulto 11 Us,buy_it_now,733.4,999.9,733.4,promotion,1,True,True,,Itabira,Minas Gerais
MLB5041516542,new,Tênis Reebok Nanoflex Tr V2 Homem,buy_it_now,359.94,599.9,359.94,promotion,50,True,True,1.0,Itabira,Minas Gerais
MLB3845069249,new,Tênis Masculino Puma Promoção Pronta Entrega Macio Leve Novo,buy_it_now,129.99,333.33,129.99,promotion,5000,True,True,1.0,Nova Serrana,Minas Gerais
MLB3505177514,new,Kit 5 Faixas Headband Anti Suor Cabelo Testa Esporte Corrida,buy_it_now,40.28,50.99,40.28,promotion,1,True,True,0.85,Santos,São Paulo
MLB3622221063,new,Tênis Recovery Masculino Fila,buy_it_now,240.02,399.99,240.02,promotion,1,True,True,,Sorocaba,São Paulo
MLB5020666474,new,Tênis Mizuno Goya 2 Masculino- Preto-preto,buy_it_now,237.93,349.9,237.93,promotion,50,True,True,0.9,Ribeirão Preto,São Paulo
MLB3667080057,new,Tênis Esportivo Masculino Feminino Academia + Relógio Fone,buy_it_now,98.99,149.99,98.99,promotion,150,True,True,0.88,Perdigão,Minas Gerais
MLB3265010189,new,Tênis Número Especial Esportivo Corrida E Academia 44-48,buy_it_now,108.73,159.9,108.73,promotion,50,True,True,1.0,Nova Serrana,Minas Gerais
MLB2164871501,new,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,buy_it_now,59.24,78.99,59.24,promotion,100,True,True,0.77,Nova Serrana,Minas Gerais
MLB4714252474,new,Tênis Feminino Academia Macio Leve Ortopédico + Relógio  ,buy_it_now,63.65,78.9,63.65,promotion,50,True,True,0.55,Nova Serrana,Minas Gerais
